instance,solver,seed,status,seconds
W4-50,cadical,1003,SAT,226
W4-50,kissat,1002,UNKNOWN,226
W4-50,kissat,1000,UNKNOWN,226
W4-50,cadical,1001,UNKNOWN,226
TARGET-r6,cadical,1005,UNSAT,20002
TARGET-r6,kissat,1000,UNKNOWN,20002
TARGET-r6,kissat,1002,UNKNOWN,20002
TARGET-r6,kissat,1004,UNKNOWN,20002
TARGET-r6,cadical,1001,UNKNOWN,20002
TARGET-r6,cadical,1003,UNKNOWN,20002
r5-w56,kissat,1000,UNKNOWN,20061
r5-w56,cadical,1001,UNKNOWN,20061
r5-w58,kissat,1000,UNKNOWN,20061
r5-w58,cadical,1001,UNKNOWN,20061
r5-w60,kissat,1000,UNKNOWN,20061
r5-w60,kissat,1002,UNKNOWN,20061
r5-w60,cadical,1001,UNKNOWN,20061
r5-w62,kissat,1006,UNKNOWN,20061
r5-w62,kissat,1002,UNKNOWN,20061
r5-w62,kissat,1000,UNKNOWN,20061
r5-w62,kissat,1004,UNKNOWN,20061
r5-w62,cadical,1003,UNKNOWN,20061
r5-w62,cadical,1005,UNKNOWN,20061
r5-w62,cadical,1007,UNKNOWN,20061
r5-w62,cadical,1001,UNKNOWN,20061
TARGET-r6,cadical,4005,UNSAT,20719
TARGET-r6,kissat,4004,UNKNOWN,20767
TARGET-r6,kissat,4002,UNKNOWN,20767
TARGET-r6,kissat,4000,UNKNOWN,20767
TARGET-r6,cadical,4003,UNKNOWN,20767
TARGET-r6,cadical,4001,UNKNOWN,20767
TARGET-r5,kissat,1002,TIMEOUT,43200
TARGET-r5,kissat,1000,TIMEOUT,43200
TARGET-r5,kissat,1004,TIMEOUT,43200
TARGET-r5,cadical,1003,TIMEOUT,43200
TARGET-r5,cadical,1001,TIMEOUT,43200
TARGET-r5,cadical,1005,TIMEOUT,43200
TARGET-r5,kissat,3008,SAT,36688
TARGET-r5,kissat,3004,UNKNOWN,36792
TARGET-r5,kissat,3010,UNKNOWN,36792
TARGET-r5,kissat,5000,UNKNOWN,15998
TARGET-r5,kissat,3012,UNKNOWN,36792
TARGET-r5,kissat,3002,UNKNOWN,36792
TARGET-r5,kissat,3018,UNKNOWN,36792
TARGET-r5,kissat,3000,UNKNOWN,36792
TARGET-r5,kissat,3016,UNKNOWN,36792
TARGET-r5,kissat,3014,UNKNOWN,36792
TARGET-r5,kissat,3006,UNKNOWN,36792
TARGET-r5,cadical,5004,UNKNOWN,15998
TARGET-r5,cadical,5005,UNKNOWN,15998
TARGET-r5,cadical,5002,UNKNOWN,15998
TARGET-r5,cadical,3013,UNKNOWN,36792
TARGET-r5,cadical,5003,UNKNOWN,15998
TARGET-r5,cadical,3019,UNKNOWN,36792
TARGET-r5,cadical,5001,UNKNOWN,15998
TARGET-r5,cadical,3017,UNKNOWN,36792
TARGET-r5,cadical,3011,UNKNOWN,36792
TARGET-r5,cadical,3005,UNKNOWN,36792
TARGET-r5,cadical,3009,UNKNOWN,36792
TARGET-r5,cadical,3015,UNKNOWN,36792
TARGET-r5,cadical,3003,UNKNOWN,36792
TARGET-r5,cadical,3007,UNKNOWN,36792
TARGET-r5,cadical,3001,UNKNOWN,36792
