core,mode,rounds,key_bits,core_registers,core_logic,core_bsram18k,gowin_constraint_mhz,gowin_postroute_fmax_mhz,initiation_interval_cycles,theoretical_cores,theoretical_limit,estimated_cores_80pct,estimated_limit,candidate_tests_per_sec,throughput_gbps,full_keyspace_years
present_80_r16_area,area,16,80,300,657,0,125.000,152.828,257,3957,logic,3165,logic,1.882104e+09,120.455,1e7.31
present_80_r16_speed,speed,16,80,4657,2161,0,200.000,203.441,1,1116,registers,893,registers,1.816728e+11,11627.060,1e5.32
present_80_lin444_297_r7_area,area,7,80,300,787,0,125.000,132.947,113,3303,logic,2642,logic,3.108371e+09,198.936,1e7.09
present_80_lin444_297_r7_speed,speed,7,80,2047,1920,0,200.000,214.993,1,1354,logic,1083,logic,2.328374e+11,14901.595,1e5.22
cipher_D_area,area,8,576,731,1484,0,125.000,131.414,65,1752,logic,1401,logic,2.832477e+09,181.279,1e156.44
cipher_D_speed,speed,8,576,5665,8694,0,149.993,149.998,1,299,logic,239,logic,3.584952e+10,2294.369,1e155.34
cipher_D_lin444_297_r5_area,area,5,384,539,1300,0,125.000,125.116,41,2000,logic,1600,logic,4.882576e+09,312.485,1e98.41
cipher_D_lin444_297_r5_speed,speed,5,384,2587,6106,0,179.986,179.991,1,425,logic,340,logic,6.119694e+10,3916.604,1e97.31
cipher_D_lin444_297_aes_r5_area,area,5,384,539,1141,0,119.048,119.169,41,2278,logic,1822,logic,5.295754e+09,338.928,1e98.37
cipher_D_lin444_297_aes_r5_speed,speed,5,384,6357,4056,0,164.989,165.267,1,641,logic,512,logic,8.461670e+10,5415.469,1e97.17
