core,status,registers,alus,luts,bsram,clock_constraint_mhz,fmax_mhz,wns_ns,timing_met,project_dir,resource_xml,timing_report,resource_scope,top_registers,top_alus,top_luts,top_bsram
present_80_r16_area,ok,300,5,652,,125.000,152.828,1.457,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_area/impl/gwsynthesis/present_80_r16_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_area/impl/pnr/present_80_r16_area_tr_content.html,core,453,5,700,
present_80_r16_speed,ok,4657,,2161,,200.000,203.441,0.085,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_speed/impl/gwsynthesis/present_80_r16_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_r16_speed/impl/pnr/present_80_r16_speed_tr_content.html,core,4810,,2209,
present_80_lin444_297_r7_area,ok,300,5,782,,125.000,132.947,0.478,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_area/impl/gwsynthesis/present_80_lin444_297_r7_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_area/impl/pnr/present_80_lin444_297_r7_area_tr_content.html,core,453,5,830,
present_80_lin444_297_r7_speed,ok,2047,,1920,,200.000,214.993,0.349,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_speed/impl/gwsynthesis/present_80_lin444_297_r7_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/present_80_lin444_297_r7_speed/impl/pnr/present_80_lin444_297_r7_speed_tr_content.html,core,2200,,1968,
cipher_D_area,ok,731,5,1479,,125.000,131.414,0.390,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_area/impl/gwsynthesis/cipher_D_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_area/impl/pnr/cipher_D_area_tr_content.html,core,1146,5,1527,
cipher_D_speed,ok,5665,,8694,,149.993,149.998,0.000,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_speed/impl/gwsynthesis/cipher_D_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_speed/impl/pnr/cipher_D_speed_tr_content.html,core,6080,,8742,
cipher_D_lin444_297_r5_area,ok,539,5,1295,,125.000,125.116,0.007,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_area/impl/gwsynthesis/cipher_D_lin444_297_r5_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_area/impl/pnr/cipher_D_lin444_297_r5_area_tr_content.html,core,840,5,1343,
cipher_D_lin444_297_r5_speed,ok,2587,,6106,,179.986,179.991,0.000,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_speed/impl/gwsynthesis/cipher_D_lin444_297_r5_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_r5_speed/impl/pnr/cipher_D_lin444_297_r5_speed_tr_content.html,core,2888,,6154,
cipher_D_lin444_297_aes_r5_area,ok,539,5,1136,,119.048,119.482,0.031,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_area/impl/gwsynthesis/cipher_D_lin444_297_aes_r5_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_area/impl/pnr/cipher_D_lin444_297_aes_r5_area_tr_content.html,core,840,5,1184,
cipher_D_lin444_297_aes_r5_speed,ok,6357,,4056,,164.989,165.267,0.010,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_speed/impl/gwsynthesis/cipher_D_lin444_297_aes_r5_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/cipher_D_lin444_297_aes_r5_speed/impl/pnr/cipher_D_lin444_297_aes_r5_speed_tr_content.html,core,6658,,4104,
aes_r5_area,ok,1052,5,2048,,101.999,102.672,0.064,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_area/impl/gwsynthesis/aes_r5_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_area/impl/pnr/aes_r5_area_tr_content.html,core,1645,5,2096,
aes_r5_speed,ok,12677,,7411,,157.011,159.349,0.093,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_speed/impl/gwsynthesis/aes_r5_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_r5_speed/impl/pnr/aes_r5_speed_tr_content.html,core,13270,,7459,
aes_lin444_0_8_15_r4_area,ok,924,5,1910,,100.000,103.362,0.325,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_area,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_area/impl/gwsynthesis/aes_lin444_0_8_15_r4_area_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_area/impl/pnr/aes_lin444_0_8_15_r4_area_tr_content.html,core,1441,5,1958,
aes_lin444_0_8_15_r4_speed,ok,9121,,6369,,139.997,141.261,0.064,yes,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_speed,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_speed/impl/gwsynthesis/aes_lin444_0_8_15_r4_speed_syn_rsc.xml,/home/leo/projects/PRESENT_mod/fpga/generated/gowin/aes_lin444_0_8_15_r4_speed/impl/pnr/aes_lin444_0_8_15_r4_speed_tr_content.html,core,9638,,6417,
