cipher,impl,rounds,block_bits,blocks,gb_per_sec,ns_per_block
present-80-r16,direct,16,64,16777216,3.612736,2.214388
present-80-r16,table,16,64,16777216,23.990208,0.333469
present-80-r16,table-ilp4,16,64,16777216,17.938021,0.445980
present-80-r16,direct-ct,16,64,16777216,3.613783,2.213747
present-80-r16,byte-global,16,64,16777216,21.982034,0.363934
present-80-r16,byte-global-x2,16,64,16777216,20.241510,0.395227
present-80-r16,byte-shared,16,64,16777216,24.387615,0.328035
present-80-r16,byte-shared-x2,16,64,16777216,26.531619,0.301527
present-80-r16,shared-sbox,16,64,16777216,12.974214,0.616608
present-80-r16,shared-sbox-x2,16,64,16777216,12.872044,0.621502
present-80-r16,shared-sbox-x4,16,64,16777216,13.169673,0.607456
present-80-r16,nibble-global-ct,16,64,16777216,20.043889,0.399124
present-80-r16,nibble-shared-ct,16,64,16777216,26.806145,0.298439
present-80-r16,bitslice-x32,16,64,16777216,157.686534,0.050734
present-80-lin444-297-r7,direct,7,64,16777216,8.207020,0.974775
present-80-lin444-297-r7,table,7,64,16777216,88.493029,0.090403
present-80-lin444-297-r7,table-ilp4,7,64,16777216,43.537832,0.183748
present-80-lin444-297-r7,direct-ct,7,64,16777216,8.252069,0.969454
present-80-lin444-297-r7,byte-global,7,64,16777216,76.182507,0.105011
present-80-lin444-297-r7,byte-global-x2,7,64,16777216,34.236142,0.233671
present-80-lin444-297-r7,byte-shared,7,64,16777216,34.121949,0.234453
present-80-lin444-297-r7,byte-shared-x2,7,64,16777216,41.147655,0.194422
present-80-lin444-297-r7,shared-sbox,7,64,16777216,41.360272,0.193422
present-80-lin444-297-r7,shared-sbox-x2,7,64,16777216,43.902863,0.182220
present-80-lin444-297-r7,shared-sbox-x4,7,64,16777216,45.486928,0.175875
present-80-lin444-297-r7,nibble-global-ct,7,64,16777216,53.962690,0.148251
present-80-lin444-297-r7,nibble-shared-ct,7,64,16777216,58.696076,0.136295
present-80-lin444-297-r7,bitslice-x32,7,64,16777216,166.071584,0.048172
cipher-D-r8,direct,8,64,16777216,6.690088,1.195799
cipher-D-r8,table,8,64,16777216,47.667421,0.167830
cipher-D-r8,table-ilp4,8,64,16777216,44.415189,0.180119
cipher-D-r8,direct-ct,8,64,16777216,6.695727,1.194792
cipher-D-r8,byte-global,8,64,16777216,34.582216,0.231333
cipher-D-r8,byte-global-x2,8,64,16777216,38.554487,0.207499
cipher-D-r8,byte-shared,8,64,16777216,38.572924,0.207399
cipher-D-r8,byte-shared-x2,8,64,16777216,43.379329,0.184420
cipher-D-r8,shared-sbox,8,64,16777216,32.130413,0.248985
cipher-D-r8,shared-sbox-x2,8,64,16777216,36.150937,0.221294
cipher-D-r8,shared-sbox-x4,8,64,16777216,35.735741,0.223866
cipher-D-lin444-297-r5,direct,5,64,16777216,10.620051,0.753292
cipher-D-lin444-297-r5,table,5,64,16777216,104.933673,0.076239
cipher-D-lin444-297-r5,table-ilp4,5,64,16777216,49.775161,0.160723
cipher-D-lin444-297-r5,direct-ct,5,64,16777216,10.703851,0.747395
cipher-D-lin444-297-r5,byte-global,5,64,16777216,104.797344,0.076338
cipher-D-lin444-297-r5,byte-global-x2,5,64,16777216,49.543508,0.161474
cipher-D-lin444-297-r5,byte-shared,5,64,16777216,50.858543,0.157299
cipher-D-lin444-297-r5,byte-shared-x2,5,64,16777216,61.162855,0.130798
cipher-D-lin444-297-r5,shared-sbox,5,64,16777216,92.796391,0.086210
cipher-D-lin444-297-r5,shared-sbox-x2,5,64,16777216,60.233566,0.132816
cipher-D-lin444-297-r5,shared-sbox-x4,5,64,16777216,50.629553,0.158010
cipher-D-AES-lin444-297-r5,direct,5,64,16777216,10.621046,0.753222
cipher-D-AES-lin444-297-r5,table,5,64,16777216,101.840575,0.078554
cipher-D-AES-lin444-297-r5,table-ilp4,5,64,16777216,57.905980,0.138155
cipher-D-AES-lin444-297-r5,direct-ct,5,64,16777216,10.703632,0.747410
cipher-D-AES-lin444-297-r5,byte-global,5,64,16777216,104.933673,0.076239
cipher-D-AES-lin444-297-r5,byte-global-x2,5,64,16777216,61.791803,0.129467
cipher-D-AES-lin444-297-r5,byte-shared,5,64,16777216,54.262883,0.147430
cipher-D-AES-lin444-297-r5,byte-shared-x2,5,64,16777216,62.073464,0.128880
cipher-D-AES-lin444-297-r5,shared-sbox,5,64,16777216,104.805197,0.076332
cipher-D-AES-lin444-297-r5,shared-sbox-x2,5,64,16777216,58.265554,0.137302
cipher-D-AES-lin444-297-r5,shared-sbox-x4,5,64,16777216,50.654623,0.157932
cipher-D-AES-lin444-297-r5,bitslice-x32,5,64,16777216,65.969958,0.121267
aes-r5,t-table,5,128,16777216,5.729203,2.792709
aes-r5,t-table-ilp4,5,128,16777216,5.446140,2.937860
aes-r5,shared-table,5,128,16777216,87.496175,0.182865
aes-r5,shared-table-x2,5,128,16777216,79.750233,0.200626
aes-r5,shared-table-x4,5,128,16777216,94.463114,0.169378
aes-lin444-0-8-15-r4,direct,4,128,16777216,13.396459,1.194345
aes-lin444-0-8-15-r4,table,4,128,16777216,54.362753,0.294319
aes-lin444-0-8-15-r4,table-ilp4,4,128,16777216,54.973380,0.291050
aes-lin444-0-8-15-r4,shared-sbox,4,128,16777216,169.470247,0.094412
aes-lin444-0-8-15-r4,shared-sbox-x2,4,128,16777216,167.147033,0.095724
aes-lin444-0-8-15-r4,table-global-ct,4,128,16777216,53.983875,0.296385
aes-lin444-0-8-15-r4,table-global-x2,4,128,16777216,39.442578,0.405653
aes-lin444-0-8-15-r4,table-shared-x4,4,128,16777216,38.435247,0.416285
aes-r10,t-table,10,128,16777216,2.686721,5.955214
aes-r10,t-table-ilp4,10,128,16777216,2.578331,6.205565
aes-r10,shared-table,10,128,16777216,50.275742,0.318245
aes-r10,shared-table-x2,10,128,16777216,56.604440,0.282663
aes-r10,shared-table-x4,10,128,16777216,61.071130,0.261990
aes-lin444-0-8-15-r5,direct,5,128,16777216,10.724309,1.491938
aes-lin444-0-8-15-r5,table,5,128,16777216,46.792890,0.341932
aes-lin444-0-8-15-r5,table-ilp4,5,128,16777216,45.272860,0.353413
aes-lin444-0-8-15-r5,shared-sbox,5,128,16777216,169.227511,0.094547
aes-lin444-0-8-15-r5,shared-sbox-x2,5,128,16777216,106.345098,0.150454
aes-lin444-0-8-15-r5,table-global-ct,5,128,16777216,34.596763,0.462471
aes-lin444-0-8-15-r5,table-global-x2,5,128,16777216,39.407002,0.406019
aes-lin444-0-8-15-r5,table-shared-x4,5,128,16777216,37.388554,0.427938
