cipher,impl,rounds,block_bits,blocks,gb_per_sec,ns_per_block
present-80-r16,direct,16,64,1048576,3.609556,2.216339
present-80-r16,table,16,64,1048576,40.046440,0.199768
present-80-r16,table-ilp4,16,64,1048576,39.143497,0.204376
present-80-r16,direct-ct,16,64,1048576,3.364876,2.377502
present-80-r16,byte-global,16,64,1048576,33.385633,0.239624
present-80-r16,byte-global-x2,16,64,1048576,33.036422,0.242157
present-80-r16,byte-shared,16,64,1048576,31.902639,0.250763
present-80-r16,byte-shared-x2,16,64,1048576,30.333719,0.263733
present-80-r16,shared-sbox,16,64,1048576,17.277005,0.463043
present-80-r16,shared-sbox-x2,16,64,1048576,16.396297,0.487915
present-80-r16,shared-sbox-x4,16,64,1048576,16.105179,0.496735
present-80-r16,nibble-global-ct,16,64,1048576,36.807637,0.217346
present-80-r16,nibble-shared-ct,16,64,1048576,39.149342,0.204346
present-80-lin444-297-r7,direct,7,64,1048576,6.782334,1.179535
present-80-lin444-297-r7,table,7,64,1048576,77.191990,0.103638
present-80-lin444-297-r7,table-ilp4,7,64,1048576,74.051979,0.108032
present-80-lin444-297-r7,direct-ct,7,64,1048576,7.865578,1.017090
present-80-lin444-297-r7,byte-global,7,64,1048576,70.204606,0.113953
present-80-lin444-297-r7,byte-global-x2,7,64,1048576,69.130802,0.115723
present-80-lin444-297-r7,byte-shared,7,64,1048576,63.381047,0.126221
present-80-lin444-297-r7,byte-shared-x2,7,64,1048576,65.470526,0.122192
present-80-lin444-297-r7,shared-sbox,7,64,1048576,68.732041,0.116394
present-80-lin444-297-r7,shared-sbox-x2,7,64,1048576,71.003251,0.112671
present-80-lin444-297-r7,shared-sbox-x4,7,64,1048576,70.393127,0.113647
present-80-lin444-297-r7,nibble-global-ct,7,64,1048576,80.734215,0.099091
present-80-lin444-297-r7,nibble-shared-ct,7,64,1048576,88.922657,0.089966
cipher-D-r8,direct,8,64,1048576,6.143232,1.302246
cipher-D-r8,table,8,64,1048576,63.719979,0.125549
cipher-D-r8,table-ilp4,8,64,1048576,59.918628,0.133514
cipher-D-r8,direct-ct,8,64,1048576,6.657118,1.201721
cipher-D-r8,byte-global,8,64,1048576,63.859686,0.125275
cipher-D-r8,byte-global-x2,8,64,1048576,63.182451,0.126617
cipher-D-r8,byte-shared,8,64,1048576,58.241279,0.137360
cipher-D-r8,byte-shared-x2,8,64,1048576,60.457565,0.132324
cipher-D-r8,shared-sbox,8,64,1048576,50.695030,0.157806
cipher-D-r8,shared-sbox-x2,8,64,1048576,52.355500,0.152802
cipher-D-r8,shared-sbox-x4,8,64,1048576,51.796877,0.154449
cipher-D-lin444-297-r5,direct,5,64,1048576,9.171005,0.872314
cipher-D-lin444-297-r5,table,5,64,1048576,86.288345,0.092712
cipher-D-lin444-297-r5,table-ilp4,5,64,1048576,79.558120,0.100555
cipher-D-lin444-297-r5,direct-ct,5,64,1048576,10.097997,0.792236
cipher-D-lin444-297-r5,byte-global,5,64,1048576,93.656309,0.085419
cipher-D-lin444-297-r5,byte-global-x2,5,64,1048576,91.371211,0.087555
cipher-D-lin444-297-r5,byte-shared,5,64,1048576,83.432210,0.095886
cipher-D-lin444-297-r5,byte-shared-x2,5,64,1048576,88.622044,0.090271
cipher-D-lin444-297-r5,shared-sbox,5,64,1048576,153.570010,0.052094
cipher-D-lin444-297-r5,shared-sbox-x2,5,64,1048576,161.817284,0.049438
cipher-D-lin444-297-r5,shared-sbox-x4,5,64,1048576,162.721287,0.049164
cipher-D-AES-lin444-297-r5,direct,5,64,1048576,9.839132,0.813080
cipher-D-AES-lin444-297-r5,table,5,64,1048576,91.626707,0.087311
cipher-D-AES-lin444-297-r5,table-ilp4,5,64,1048576,84.726566,0.094421
