cipher,impl,rounds,block_bits,blocks,gb_per_sec,ns_per_block
present-80-r16,direct,16,64,1048576,3.606130,2.218445
present-80-r16,table,16,64,1048576,40.021984,0.199890
present-80-r16,table-ilp4,16,64,1048576,38.992115,0.205170
present-80-lin444-297-r7,direct,7,64,1048576,7.360701,1.086853
present-80-lin444-297-r7,table,7,64,1048576,83.939801,0.095306
present-80-lin444-297-r7,table-ilp4,7,64,1048576,80.068417,0.099915
cipher-D-r8,direct,8,64,1048576,6.612617,1.209808
cipher-D-r8,table,8,64,1048576,63.488496,0.126007
cipher-D-r8,table-ilp4,8,64,1048576,59.510559,0.134430
cipher-D-lin444-297-r5,direct,5,64,1048576,10.609681,0.754028
cipher-D-lin444-297-r5,table,5,64,1048576,97.126341,0.082367
cipher-D-lin444-297-r5,table-ilp4,5,64,1048576,90.301068,0.088593
cipher-D-AES-lin444-297-r5,direct,5,64,1048576,10.612258,0.753845
cipher-D-AES-lin444-297-r5,table,5,64,1048576,97.560105,0.082001
cipher-D-AES-lin444-297-r5,table-ilp4,5,64,1048576,90.238898,0.088654
aes-r5,t-table,5,128,1048576,5.588888,2.862824
aes-r5,t-table-ilp4,5,128,1048576,5.447318,2.937225
aes-lin444-0-8-15-r4,direct,4,128,1048576,13.336589,1.199707
aes-lin444-0-8-15-r4,table,4,128,1048576,29.447764,0.543335
aes-lin444-0-8-15-r4,table-ilp4,4,128,1048576,25.587506,0.625305
aes-r10,t-table,10,128,1048576,2.618952,6.109314
aes-r10,t-table-ilp4,10,128,1048576,2.579662,6.202362
aes-lin444-0-8-15-r5,direct,5,128,1048576,10.690374,1.496674
aes-lin444-0-8-15-r5,table,5,128,1048576,23.735252,0.674103
aes-lin444-0-8-15-r5,table-ilp4,5,128,1048576,21.229673,0.753662
