variant,rounds,min_active,active_status,min_weight,weight_status,seconds,calls,n_vars,n_clauses
present-80-sbox-opt2,1,1,exact,2,exact,0.004,2,272,1326
present-80-sbox-opt2,2,2,exact,4,exact,0.007,3,672,3036
present-80-sbox-opt2,3,3,exact,6,exact,0.012,4,1264,5130
present-80-sbox-opt2,4,4,exact,8,exact,0.020,5,2048,7608
present-80-sbox-opt2,5,5,exact,10,exact,0.024,6,3024,10470
present-80-sbox-opt2,6,6,exact,12,exact,0.043,7,4192,13716
present-80-sbox-opt2,7,7,exact,14,exact,0.098,8,5552,17346
present-80-sbox-opt2,8,8,exact,16,exact,0.129,9,7104,21360
present-80-sbox-opt2,9,9,exact,18,exact,0.144,10,8848,25758
present-80-sbox-opt2,10,10,exact,20,exact,0.283,11,10784,30540
present-80-sbox-opt2,11,11,exact,22,exact,0.369,12,12912,35706
present-80-sbox-opt2,12,12,exact,24,exact,0.457,13,15232,41256
