variant,impl,mode,rounds,key_bits,sbox_gates,cycles_per_byte,cycles_per_byte_min,mb_per_sec,ns_per_op
cipher-D-lin444-1-15-13,neon,throughput,8,576,1107,234.7397,234.0950,4.26,1877.9579
cipher-D-lin444-1-15-13,neon-bs,throughput,8,576,1107,195.0657,194.9303,5.13,1560.5306
cipher-D-lin444-1-15-13,bitslice,throughput,8,576,1107,485.9527,485.5363,2.06,3887.6627
cipher-D-lin444-1-15-13,bitslice-bs,throughput,8,576,1107,450.3223,450.0661,2.22,3602.5885
cipher-D-lin444-1-15-13,table-x16,throughput,8,576,0,51.0415,50.7516,19.59,408.3373
cipher-D-lin444-1-15-13,table-x8,throughput,8,576,0,52.6767,52.4033,18.98,421.4087
cipher-D-lin444-1-15-13,table-x4,throughput,8,576,0,55.1085,54.8937,18.15,440.8684
cipher-D-lin444-1-15-13,table-x2,throughput,8,576,0,48.6364,48.4247,20.56,389.0913
cipher-D-lin444-1-15-13,table,throughput,8,576,0,47.7565,47.5181,20.94,382.0520
cipher-D-lin444-1-15-13,table-dec,throughput,8,576,0,66.3382,66.2975,15.07,530.7103
cipher-D-lin444-1-15-13,table,latency,8,576,0,47.5251,47.1341,21.04,380.2007
cipher-D-lin444-1-15-13,-,keyschedule,8,576,0,219.9120,219.8910,4.55,219.9120
cipher-D-lin444-1-15-13,-,ctxinit,8,576,0,209693.4800,209337.2400,0.00,209693.4800
cipher-D-lin444-1-15-13,ref,throughput,8,576,0,768.2556,767.9702,1.30,6146.0656
cipher-D-lin444-1-15-13,ref,latency,8,576,0,768.1813,767.8926,1.30,6145.4755
cipher-D-lin444-297-aes-r5,neon,throughput,5,384,132,56.4799,56.2523,17.70,451.9054
cipher-D-lin444-297-aes-r5,neon-bs,throughput,5,384,132,21.8584,21.8521,45.75,174.8774
cipher-D-lin444-297-aes-r5,bitslice,throughput,5,384,132,63.7614,63.6628,15.68,510.1317
cipher-D-lin444-297-aes-r5,bitslice-bs,throughput,5,384,132,30.7726,30.6072,32.50,246.1803
cipher-D-lin444-297-aes-r5,table-x16,throughput,5,384,0,32.6786,32.4726,30.60,261.4338
cipher-D-lin444-297-aes-r5,table-x8,throughput,5,384,0,33.9221,33.7073,29.48,271.3772
cipher-D-lin444-297-aes-r5,table-x4,throughput,5,384,0,35.7436,35.4874,27.98,285.9490
cipher-D-lin444-297-aes-r5,table-x2,throughput,5,384,0,31.8120,31.6766,31.43,254.4962
cipher-D-lin444-297-aes-r5,table,throughput,5,384,0,31.6226,31.4013,31.62,252.9805
cipher-D-lin444-297-aes-r5,table-dec,throughput,5,384,0,42.8738,42.6659,23.32,342.9904
cipher-D-lin444-297-aes-r5,table,latency,5,384,0,31.3740,31.0389,31.87,250.9918
cipher-D-lin444-297-aes-r5,-,keyschedule,5,384,0,157.4135,157.3925,6.35,157.4135
cipher-D-lin444-297-aes-r5,-,ctxinit,5,384,0,207368.5350,207065.2050,0.00,207368.5350
cipher-D-lin444-297-aes-r5,ref,throughput,5,384,0,482.0860,481.8705,2.07,3856.6932
cipher-D-lin444-297-aes-r5,ref,latency,5,384,0,482.0669,481.8667,2.07,3856.5355
cipher-D-lin444-297-aes,neon,throughput,8,576,132,69.5494,69.4331,14.38,556.4413
cipher-D-lin444-297-aes,neon-bs,throughput,8,576,132,34.5827,34.4110,28.92,276.6669
cipher-D-lin444-297-aes,bitslice,throughput,8,576,132,81.5426,81.4224,12.26,652.4324
cipher-D-lin444-297-aes,bitslice-bs,throughput,8,576,132,48.3223,48.1494,20.69,386.5839
cipher-D-lin444-297-aes,table-x16,throughput,8,576,0,51.2094,50.9722,19.53,409.6750
cipher-D-lin444-297-aes,table-x8,throughput,8,576,0,52.9514,52.7053,18.89,423.6110
cipher-D-lin444-297-aes,table-x4,throughput,8,576,0,55.4252,55.2758,18.04,443.4012
cipher-D-lin444-297-aes,table-x2,throughput,8,576,0,48.9448,48.7000,20.43,391.5631
cipher-D-lin444-297-aes,table,throughput,8,576,0,48.0706,47.8487,20.80,384.5697
cipher-D-lin444-297-aes,table-dec,throughput,8,576,0,66.3286,66.3057,15.08,530.6290
cipher-D-lin444-297-aes,table,latency,8,576,0,47.7819,47.4462,20.93,382.2555
cipher-D-lin444-297-aes,-,keyschedule,8,576,0,219.9120,219.8915,4.55,219.9120
cipher-D-lin444-297-aes,-,ctxinit,8,576,0,210239.3100,209833.0750,0.00,210239.3150
cipher-D-lin444-297-aes,ref,throughput,8,576,0,768.5392,767.9372,1.30,6148.3087
cipher-D-lin444-297-aes,ref,latency,8,576,0,768.0058,767.6422,1.30,6144.0518
cipher-D-lin444-297-r5,neon,throughput,5,384,1107,159.3024,158.6666,6.28,1274.4750
cipher-D-lin444-297-r5,neon-bs,throughput,5,384,1107,121.7131,121.6724,8.22,973.7100
cipher-D-lin444-297-r5,bitslice,throughput,5,384,1107,315.5543,315.3153,3.17,2524.4803
cipher-D-lin444-297-r5,bitslice-bs,throughput,5,384,1107,280.8902,280.5895,3.56,2247.1218
cipher-D-lin444-297-r5,table-x16,throughput,5,384,0,32.7047,32.4815,30.58,261.6423
