variant,impl,mode,rounds,key_bits,sbox_gates,cycles_per_byte,cycles_per_byte_min,mb_per_sec,ns_per_op
present-128,ref,latency,31,128,0,1497.4890,1475.8083,1.62,4952.4856
present-128,table,latency,31,128,0,26.3911,25.3661,91.65,87.2877
present-128,ref,throughput,31,128,0,1488.9880,1477.2894,1.62,4924.3401
present-128,table,throughput,31,128,0,23.0699,22.7056,104.85,76.3005
present-128,bitslice,throughput,31,128,20,7.5802,7.4543,319.10,25.0703
present-128,table-dec,throughput,31,128,0,50.5869,49.1176,47.82,167.3030
present-128,-,keyschedule,31,128,0,207.3830,206.8715,11.66,85.7295
present-128,-,ctxinit,31,128,0,26850.8650,25804.4450,0.09,11100.0750
present-80-identity-p,ref,latency,31,80,0,1473.7579,1429.6629,1.64,4873.9380
present-80-identity-p,table,latency,31,80,0,25.6884,25.3148,94.16,84.9613
present-80-identity-p,ref,throughput,31,80,0,1519.0307,1481.0574,1.59,5023.6548
present-80-identity-p,table,throughput,31,80,0,24.5097,22.6936,98.69,81.0592
present-80-identity-p,bitslice,throughput,31,80,20,7.6930,7.0060,314.44,25.4424
present-80-identity-p,table-dec,throughput,31,80,0,51.8466,50.2564,46.66,171.4663
present-80-identity-p,-,keyschedule,31,80,0,205.7160,196.4470,11.76,85.0435
present-80-identity-p,-,ctxinit,31,80,0,26826.6000,26354.3100,0.09,11089.9800
present-80-r16,ref,latency,16,80,0,768.1408,763.1230,3.15,2540.3506
present-80-r16,table,latency,16,80,0,13.2051,13.0934,183.19,43.6710
present-80-r16,ref,throughput,16,80,0,779.3609,761.6583,3.10,2577.4661
present-80-r16,table,throughput,16,80,0,10.4987,10.4821,230.40,34.7229
present-80-r16,bitslice,throughput,16,80,20,4.9288,4.6206,490.75,16.3015
present-80-r16,table-dec,throughput,16,80,0,24.8519,24.6160,97.34,82.1895
present-80-r16,-,keyschedule,16,80,0,94.2315,94.1535,25.67,38.9555
present-80-r16,-,ctxinit,16,80,0,26213.8900,25588.3250,0.09,10836.6400
present-80-randperm-p,ref,latency,31,80,0,1486.2789,1474.0027,1.63,4915.3262
present-80-randperm-p,table,latency,31,80,0,25.6140,25.3219,94.44,84.7130
present-80-randperm-p,ref,throughput,31,80,0,1509.5620,1472.6571,1.60,4992.3245
present-80-randperm-p,table,throughput,31,80,0,23.1298,22.8171,104.58,76.4940
present-80-randperm-p,bitslice,throughput,31,80,20,8.1749,8.1201,295.89,27.0371
present-80-randperm-p,table-dec,throughput,31,80,0,52.3921,50.0893,46.17,173.2699
present-80-randperm-p,-,keyschedule,31,80,0,223.1690,215.2265,10.84,92.2645
present-80-randperm-p,-,ctxinit,31,80,0,25971.7000,25193.9100,0.09,10736.5850
present-80-rotate-p,ref,latency,31,80,0,1500.9152,1479.1290,1.61,4963.7252
present-80-rotate-p,table,latency,31,80,0,26.2910,25.3235,92.01,86.9479
present-80-rotate-p,ref,throughput,31,80,0,1514.1617,1478.3550,1.60,5007.5410
present-80-rotate-p,table,throughput,31,80,0,23.7138,22.6922,102.01,78.4255
present-80-rotate-p,bitslice,throughput,31,80,20,8.2583,7.7886,292.91,27.3119
present-80-rotate-p,table-dec,throughput,31,80,0,50.0897,49.0848,48.29,165.6550
present-80-rotate-p,-,keyschedule,31,80,0,196.3195,194.9995,12.32,81.1560
present-80-rotate-p,-,ctxinit,31,80,0,26600.7000,26180.0650,0.09,10996.7150
present-80-sbox-opt1,ref,latency,31,80,0,1501.9970,1480.2234,1.61,4967.2941
present-80-sbox-opt1,table,latency,31,80,0,26.4213,25.4830,91.56,87.3767
present-80-sbox-opt1,ref,throughput,31,80,0,1496.1100,1476.2806,1.62,4947.8367
present-80-sbox-opt1,table,throughput,31,80,0,23.0542,22.7256,104.93,76.2449
present-80-sbox-opt1,bitslice,throughput,31,80,22,7.7372,7.7058,312.63,25.5894
present-80-sbox-opt1,table-dec,throughput,31,80,0,49.4753,49.2862,48.89,163.6216
present-80-sbox-opt1,-,keyschedule,31,80,0,197.3395,194.7280,12.26,81.5915
present-80-sbox-opt1,-,ctxinit,31,80,0,26032.8400,25686.4700,0.09,10761.8700
present-80-sbox-opt2,ref,latency,31,80,0,1489.8184,1474.2895,1.62,4927.0072
present-80-sbox-opt2,table,latency,31,80,0,25.5623,25.3228,94.63,84.5405
present-80-sbox-opt2,ref,throughput,31,80,0,1504.0136,1485.1876,1.61,4973.9567
present-80-sbox-opt2,table,throughput,31,80,0,22.8407,22.6945,105.91,75.5385
present-80-sbox-opt2,bitslice,throughput,31,80,17,7.2276,7.1083,334.69,23.9027
